codigo_ocorrencia1,codigo_ocorrencia2,category_group,aeronave_fatalidades_total
78720,78720,System or Component Failure,0
79556,79556,System or Component Failure,0
80500,80500,Engine-Related Issues,0
77967,77967,Animal Collisions,0
81416,81416,Navigation and Air Traffic Issues,0
80862,80862,Runway and Landing Issues,0
79962,79962,System or Component Failure,0
78904,78904,Runway and Landing Issues,0
80031,80031,Engine-Related Issues,0
79550,79550,System or Component Failure,0
66766,66766,System or Component Failure,0
51549,51549,Engine-Related Issues,0
51347,51347,Animal Collisions,0
78724,78724,System or Component Failure,0
47217,47217,Engine-Related Issues,0
51432,51432,Unknonw,0
81079,81079,Animal Collisions,0
47888,47888,Runway and Landing Issues,0
66846,66846,System or Component Failure,0
78977,78977,Navigation and Air Traffic Issues,0
51266,51266,System or Component Failure,0
49965,49965,System or Component Failure,0
48429,48429,Runway and Landing Issues,0
66019,66019,System or Component Failure,0
78930,78930,System or Component Failure,0
79294,79294,Runway and Landing Issues,0
80959,80959,Navigation and Air Traffic Issues,0
80028,80028,System or Component Failure,0
51304,51304,Animal Collisions,0
78908,78908,Engine-Related Issues,0
50983,50983,Engine-Related Issues,0
51436,51436,Navigation and Air Traffic Issues,1
77946,77946,Weather-Related Issues,0
66539,66539,System or Component Failure,0
60708,60708,System or Component Failure,0
52972,52972,Navigation and Air Traffic Issues,1
77353,77353,Navigation and Air Traffic Issues,0
51655,51655,Runway and Landing Issues,0
52297,52297,Navigation and Air Traffic Issues,0
80756,80756,Engine-Related Issues,0
81282,81282,System or Component Failure,0
81196,81196,Runway and Landing Issues,0
51327,51327,System or Component Failure,0
78084,78084,System or Component Failure,0
51458,51458,Fire and Smoke Incidents,0
80678,80678,System or Component Failure,0
65674,65674,System or Component Failure,0
60677,60677,Runway and Landing Issues,0
52614,52614,Navigation and Air Traffic Issues,0
80766,80766,System or Component Failure,0
60817,60817,Engine-Related Issues,0
81342,81342,Navigation and Air Traffic Issues,0
53374,53374,Engine-Related Issues,0
49117,49117,System or Component Failure,0
80492,80492,Runway and Landing Issues,0
65771,65771,Loss of Control,0
49964,49964,System or Component Failure,0
79483,79483,Runway and Landing Issues,0
60947,60947,Navigation and Air Traffic Issues,0
65713,65713,Fuel-Related Issues,4
79467,79467,System or Component Failure,0
78071,78071,Navigation and Air Traffic Issues,0
50236,50236,Runway and Landing Issues,1
79027,79027,Engine-Related Issues,0
51460,51460,Animal Collisions,0
77572,77572,Runway and Landing Issues,0
78965,78965,System or Component Failure,0
79864,79864,Navigation and Air Traffic Issues,1
77565,77565,Runway and Landing Issues,0
81010,81010,Runway and Landing Issues,0
81071,81071,System or Component Failure,0
79696,79696,Loss of Control,0
80596,80596,Animal Collisions,0
81526,81526,System or Component Failure,0
77900,77900,Engine-Related Issues,0
77610,77610,Runway and Landing Issues,0
81747,81747,System or Component Failure,0
78371,78371,Loss of Control,0
50558,50558,Others/Miscellaneous,0
78897,78897,Navigation and Air Traffic Issues,0
80343,80343,Loss of Control,0
78768,78768,Runway and Landing Issues,0
78870,78870,Navigation and Air Traffic Issues,0
81290,81290,System or Component Failure,0
46850,46850,Runway and Landing Issues,0
52941,52941,Others/Miscellaneous,0
78207,78207,Runway and Landing Issues,0
51543,51543,Fire and Smoke Incidents,0
79532,79532,System or Component Failure,0
81527,81527,Navigation and Air Traffic Issues,0
46973,46973,Engine-Related Issues,0
81488,81488,Runway and Landing Issues,0
53471,53471,Loss of Control,0
65422,65422,System or Component Failure,0
47081,47081,Engine-Related Issues,0
77918,77918,Engine-Related Issues,0
53199,53199,Loss of Control,1
79521,79521,System or Component Failure,0
53164,53164,Loss of Control,0
79215,79215,Engine-Related Issues,0
78617,78617,Runway and Landing Issues,0
79110,79110,Health Factors,1
81701,81701,System or Component Failure,0
77632,77632,Engine-Related Issues,0
79830,79830,Others/Miscellaneous,0
66582,66582,System or Component Failure,0
47652,47652,Loss of Control,0
80819,80819,System or Component Failure,0
60751,60751,System or Component Failure,0
80098,80098,System or Component Failure,0
51324,51324,System or Component Failure,0
78544,78544,System or Component Failure,0
51016,51016,Loss of Control,0
78410,78410,Fire and Smoke Incidents,0
60651,60651,Engine-Related Issues,0
80233,80233,Fuel-Related Issues,0
80924,80924,Engine-Related Issues,0
81499,81499,Navigation and Air Traffic Issues,0
53248,53248,Animal Collisions,0
80041,80041,Others/Miscellaneous,0
46853,46853,Runway and Landing Issues,0
78907,78907,Runway and Landing Issues,0
78233,78233,Animal Collisions,0
81297,81297,Loss of Control,0
52967,52967,Loss of Control,0
78941,78941,Navigation and Air Traffic Issues,0
79975,79975,Runway and Landing Issues,0
51078,51078,System or Component Failure,0
53498,53498,Runway and Landing Issues,0
78901,78901,System or Component Failure,0
78161,78161,Health Factors,1
81382,81382,System or Component Failure,0
78645,78645,Runway and Landing Issues,0
81379,81379,Fuel-Related Issues,0
77257,77257,System or Component Failure,0
80351,80351,Loss of Control,0
60955,60955,Loss of Control,0
81314,81314,Engine-Related Issues,0
51557,51557,System or Component Failure,0
80907,80907,System or Component Failure,0
79514,79514,System or Component Failure,0
79265,79265,Unknonw,0
80029,80029,Fire and Smoke Incidents,0
53186,53186,System or Component Failure,0
79414,79414,Loss of Control,0
65312,65312,Navigation and Air Traffic Issues,0
52989,52989,Fuel-Related Issues,0
78912,78912,Others/Miscellaneous,0
80147,80147,Others/Miscellaneous,0
66321,66321,System or Component Failure,0
79454,79454,Runway and Landing Issues,0
79412,79412,Engine-Related Issues,0
77690,77690,Loss of Control,2
80685,80685,Runway and Landing Issues,0
80340,80340,Loss of Control,0
78830,78830,Unknonw,0
79718,79718,Runway and Landing Issues,0
80263,80263,Runway and Landing Issues,0
79916,79916,Navigation and Air Traffic Issues,0
79288,79288,System or Component Failure,0
67055,67055,Others/Miscellaneous,0
81283,81283,System or Component Failure,0
53012,53012,System or Component Failure,0
77429,77429,Engine-Related Issues,0
