codigo_ocorrencia1,codigo_ocorrencia2,category_group,aeronave_fatalidades_total
52263,52263,Runway and Landing Issues,0
78945,78945,Runway and Landing Issues,0
81321,81321,System or Component Failure,0
77554,77554,Engine-Related Issues,0
60924,60924,Runway and Landing Issues,0
52988,52988,Runway and Landing Issues,0
78163,78163,System or Component Failure,0
46897,46897,Engine-Related Issues,0
46857,46857,Loss of Control,2
77814,77814,System or Component Failure,0
79903,79903,Weather-Related Issues,0
50672,50672,Runway and Landing Issues,0
80646,80646,Loss of Control,0
53355,53355,Others/Miscellaneous,0
77296,77296,Weather-Related Issues,0
79253,79253,System or Component Failure,0
53562,53562,Runway and Landing Issues,0
65186,65186,Unknonw,2
80375,80375,System or Component Failure,0
49671,49671,Loss of Control,0
51073,51073,System or Component Failure,0
53597,53597,System or Component Failure,0
80918,80918,Runway and Landing Issues,0
80820,80820,Runway and Landing Issues,1
53077,53077,Animal Collisions,0
80870,80870,Runway and Landing Issues,0
49274,49274,System or Component Failure,0
78080,78080,Unknonw,1
80583,80583,Runway and Landing Issues,0
79498,79498,Runway and Landing Issues,0
49478,49478,Weather-Related Issues,0
47697,47697,Loss of Control,0
81348,81348,Engine-Related Issues,0
49957,49957,Animal Collisions,0
60853,60853,Runway and Landing Issues,0
52755,52755,System or Component Failure,0
77495,77495,Engine-Related Issues,0
79684,79684,System or Component Failure,0
65543,65543,System or Component Failure,0
51156,51156,Others/Miscellaneous,0
61071,61071,Runway and Landing Issues,2
53190,53190,Weather-Related Issues,0
77770,77770,Fuel-Related Issues,0
53288,53288,System or Component Failure,0
79326,79326,Loss of Control,0
66874,66874,System or Component Failure,0
79827,79827,Engine-Related Issues,0
78918,78918,Engine-Related Issues,0
78932,78932,Navigation and Air Traffic Issues,0
80594,80594,System or Component Failure,0
50382,50382,Engine-Related Issues,0
77333,77333,Loss of Control,1
60922,60922,Fuel-Related Issues,1
79499,79499,System or Component Failure,0
49265,49265,Others/Miscellaneous,0
53507,53507,System or Component Failure,0
78266,78266,System or Component Failure,0
49703,49703,System or Component Failure,0
79130,79130,System or Component Failure,0
77672,77672,Loss of Control,0
81336,81336,Loss of Control,0
81021,81021,Runway and Landing Issues,0
77761,77761,System or Component Failure,0
80405,80405,System or Component Failure,0
80494,80494,Engine-Related Issues,0
77576,77576,Loss of Control,1
78550,78550,Loss of Control,1
47015,47015,Runway and Landing Issues,0
78249,78249,Navigation and Air Traffic Issues,0
53003,53003,System or Component Failure,0
79497,79497,Loss of Control,0
77244,77244,Loss of Control,0
79392,79392,Animal Collisions,0
78374,78374,Fuel-Related Issues,0
47017,47017,Loss of Control,0
80903,80903,Runway and Landing Issues,0
81487,81487,Engine-Related Issues,0
80471,80471,Engine-Related Issues,0
80294,80294,Loss of Control,7
80648,80648,System or Component Failure,0
78945,78945,System or Component Failure,0
79818,79818,Runway and Landing Issues,0
50542,50542,Navigation and Air Traffic Issues,0
52676,52676,Fuel-Related Issues,0
79057,79057,Runway and Landing Issues,0
66916,66916,System or Component Failure,0
80837,80837,Runway and Landing Issues,0
78706,78706,Engine-Related Issues,0
79968,79968,Runway and Landing Issues,0
77338,77338,System or Component Failure,0
79350,79350,System or Component Failure,0
81045,81045,Loss of Control,0
53347,53347,System or Component Failure,0
51345,51345,System or Component Failure,0
80774,80774,Engine-Related Issues,0
79007,79007,Engine-Related Issues,0
79989,79989,System or Component Failure,0
80897,80897,Runway and Landing Issues,0
48055,48055,Loss of Control,0
81407,81407,System or Component Failure,0
79448,79448,Runway and Landing Issues,0
50335,50335,Fuel-Related Issues,0
65441,65441,Engine-Related Issues,0
80814,80814,Others/Miscellaneous,0
81243,81243,Engine-Related Issues,0
79919,79919,System or Component Failure,0
53505,53505,System or Component Failure,0
53340,53340,Others/Miscellaneous,0
51537,51537,System or Component Failure,0
80502,80502,Weather-Related Issues,0
79074,79074,System or Component Failure,0
79897,79897,Engine-Related Issues,0
80096,80096,Loss of Control,0
81369,81369,System or Component Failure,0
81122,81122,System or Component Failure,0
51716,51716,Engine-Related Issues,0
51693,51693,System or Component Failure,0
60660,60660,Runway and Landing Issues,0
80686,80686,Loss of Control,0
66477,66477,Runway and Landing Issues,0
51592,51592,Others/Miscellaneous,0
80026,80026,Engine-Related Issues,0
80754,80754,Others/Miscellaneous,0
65854,65854,System or Component Failure,0
67136,67136,System or Component Failure,0
61033,61033,Runway and Landing Issues,0
80858,80858,Unknonw,0
53127,53127,Animal Collisions,0
79875,79875,System or Component Failure,0
53413,53413,Others/Miscellaneous,0
53557,53557,Engine-Related Issues,0
51991,51991,System or Component Failure,0
53436,53436,Loss of Control,0
50091,50091,Runway and Landing Issues,5
48657,48657,Others/Miscellaneous,0
79284,79284,Weather-Related Issues,0
80011,80011,Engine-Related Issues,0
48893,48893,Others/Miscellaneous,0
47332,47332,System or Component Failure,0
81118,81118,Navigation and Air Traffic Issues,0
80475,80475,System or Component Failure,0
79063,79063,Unknonw,0
80422,80422,Engine-Related Issues,0
80166,80166,Runway and Landing Issues,0
77719,77719,Animal Collisions,0
78987,78987,Engine-Related Issues,0
52938,52938,Loss of Control,0
53486,53486,Loss of Control,0
77924,77924,System or Component Failure,0
79289,79289,Engine-Related Issues,0
77271,77271,Animal Collisions,0
66541,66541,Runway and Landing Issues,0
79419,79419,Engine-Related Issues,0
79097,79097,Fuel-Related Issues,0
65916,65916,Animal Collisions,0
65797,65797,Engine-Related Issues,0
48754,48754,System or Component Failure,0
79507,79507,System or Component Failure,0
81200,81200,System or Component Failure,0
51314,51314,System or Component Failure,0
79652,79652,System or Component Failure,0
81144,81144,Loss of Control,0
80017,80017,System or Component Failure,0
79547,79547,Fire and Smoke Incidents,0
81326,81326,System or Component Failure,0
80689,80689,Runway and Landing Issues,0
60996,60996,Runway and Landing Issues,0
79746,79746,Animal Collisions,0
50803,50803,Loss of Control,0
81462,81462,System or Component Failure,0
47219,47219,System or Component Failure,0
81388,81388,Engine-Related Issues,0
77730,77730,System or Component Failure,0
81259,81259,System or Component Failure,0
80200,80200,Navigation and Air Traffic Issues,0
79845,79845,System or Component Failure,0
80788,80788,Animal Collisions,0
77524,77524,System or Component Failure,0
66368,66368,System or Component Failure,0
52675,52675,Loss of Control,0
79204,79204,Others/Miscellaneous,0
81742,81742,System or Component Failure,0
80506,80506,Weather-Related Issues,0
51302,51302,System or Component Failure,0
53205,53205,Others/Miscellaneous,0
80835,80835,Unknonw,0
78821,78821,Others/Miscellaneous,0
66640,66640,Loss of Control,0
52551,52551,System or Component Failure,0
49476,49476,Runway and Landing Issues,0
77807,77807,Animal Collisions,0
46982,46982,Runway and Landing Issues,0
47134,47134,Runway and Landing Issues,2
47983,47983,Runway and Landing Issues,0
61002,61002,System or Component Failure,0
49710,49710,System or Component Failure,0
65799,65799,System or Component Failure,0
50332,50332,System or Component Failure,0
47132,47132,Runway and Landing Issues,0
65318,65318,Loss of Control,0
78579,78579,Engine-Related Issues,0
48800,48800,Runway and Landing Issues,0
78605,78605,System or Component Failure,0
80609,80609,System or Component Failure,0
79690,79690,System or Component Failure,0
79902,79902,System or Component Failure,0
60925,60925,Runway and Landing Issues,0
81074,81074,System or Component Failure,0
80099,80099,Loss of Control,0
79308,79308,Navigation and Air Traffic Issues,1
46865,46865,System or Component Failure,0
77312,77312,Runway and Landing Issues,0
48878,48878,System or Component Failure,0
78816,78816,System or Component Failure,0
78893,78893,Runway and Landing Issues,0
47434,47434,System or Component Failure,0
79278,79278,System or Component Failure,0
79663,79663,Others/Miscellaneous,0
81653,81653,Navigation and Air Traffic Issues,0
79976,79976,Engine-Related Issues,2
78563,78563,Engine-Related Issues,0
81153,81153,Engine-Related Issues,0
78769,78769,Engine-Related Issues,0
60600,60600,Weather-Related Issues,0
80086,80086,Navigation and Air Traffic Issues,2
51762,51762,Loss of Control,0
81529,81529,Runway and Landing Issues,0
53328,53328,Runway and Landing Issues,0
48516,48516,Weather-Related Issues,0
80073,80073,Loss of Control,1
80053,80053,System or Component Failure,0
53110,53110,Engine-Related Issues,0
53495,53495,Loss of Control,0
78604,78604,Fire and Smoke Incidents,0
52290,52290,Loss of Control,0
78955,78955,System or Component Failure,0
80484,80484,System or Component Failure,0
79330,79330,Runway and Landing Issues,0
48110,48110,System or Component Failure,0
52286,52286,Loss of Control,0
60642,60642,Unknonw,0
81478,81478,Navigation and Air Traffic Issues,0
79831,79831,Navigation and Air Traffic Issues,0
65383,65383,System or Component Failure,5
79819,79819,Runway and Landing Issues,0
79305,79305,System or Component Failure,0
77807,77807,Runway and Landing Issues,0
80731,80731,System or Component Failure,0
47313,47313,System or Component Failure,0
79121,79121,Runway and Landing Issues,0
52592,52592,System or Component Failure,0
79470,79470,System or Component Failure,0
53076,53076,Runway and Landing Issues,0
81179,81179,System or Component Failure,0
77823,77823,Fuel-Related Issues,0
80410,80410,Engine-Related Issues,0
48656,48656,Others/Miscellaneous,0
78970,78970,System or Component Failure,0
47060,47060,System or Component Failure,0
51546,51546,System or Component Failure,0
52811,52811,Loss of Control,0
79010,79010,System or Component Failure,0
53330,53330,System or Component Failure,0
66684,66684,System or Component Failure,0
53375,53375,Loss of Control,0
60711,60711,System or Component Failure,0
53465,53465,Loss of Control,1
77656,77656,System or Component Failure,0
52764,52764,System or Component Failure,0
60767,60767,Engine-Related Issues,0
79848,79848,Runway and Landing Issues,0
80938,80938,Runway and Landing Issues,0
49475,49475,System or Component Failure,0
80548,80548,Runway and Landing Issues,0
79800,79800,System or Component Failure,0
81195,81195,Loss of Control,1
81276,81276,Navigation and Air Traffic Issues,0
79738,79738,Runway and Landing Issues,0
80007,80007,Engine-Related Issues,0
66544,66544,Others/Miscellaneous,0
80237,80237,Engine-Related Issues,0
78157,78157,Engine-Related Issues,0
78320,78320,System or Component Failure,0
80514,80514,System or Component Failure,0
77685,77685,Loss of Control,0
46860,46860,Engine-Related Issues,0
79717,79717,Navigation and Air Traffic Issues,0
60857,60857,Animal Collisions,0
51133,51133,System or Component Failure,0
53472,53472,Runway and Landing Issues,1
77550,77550,System or Component Failure,0
66414,66414,System or Component Failure,0
81186,81186,System or Component Failure,0
79883,79883,Engine-Related Issues,0
78770,78770,Loss of Control,0
80693,80693,Engine-Related Issues,0
80212,80212,Runway and Landing Issues,0
81730,81730,System or Component Failure,0
79302,79302,Navigation and Air Traffic Issues,0
53490,53490,Engine-Related Issues,0
60904,60904,Others/Miscellaneous,0
77586,77586,System or Component Failure,0
78780,78780,Runway and Landing Issues,0
80334,80334,Fire and Smoke Incidents,0
53104,53104,Runway and Landing Issues,0
79742,79742,Engine-Related Issues,0
79005,79005,System or Component Failure,0
49935,49935,System or Component Failure,0
80441,80441,Runway and Landing Issues,0
53317,53317,System or Component Failure,0
79274,79274,System or Component Failure,0
79349,79349,Engine-Related Issues,0
78078,78078,Engine-Related Issues,0
50324,50324,Engine-Related Issues,0
77206,77206,Loss of Control,0
77846,77846,System or Component Failure,0
79598,79598,Unknonw,0
81623,81623,Navigation and Air Traffic Issues,1
46898,46898,Engine-Related Issues,0
79726,79726,System or Component Failure,0
49752,49752,System or Component Failure,0
80828,80828,Animal Collisions,0
80666,80666,Runway and Landing Issues,0
53552,53552,Loss of Control,0
53342,53342,Fuel-Related Issues,0
77337,77337,Runway and Landing Issues,0
52533,52533,Engine-Related Issues,0
50921,50921,System or Component Failure,0
79241,79241,System or Component Failure,0
67034,67034,Others/Miscellaneous,0
51420,51420,Engine-Related Issues,0
80176,80176,Loss of Control,0
51159,51159,Others/Miscellaneous,0
46914,46914,Loss of Control,0
79034,79034,Loss of Control,0
79766,79766,Runway and Landing Issues,0
80551,80551,Engine-Related Issues,0
65460,65460,System or Component Failure,0
52723,52723,Others/Miscellaneous,0
48112,48112,Navigation and Air Traffic Issues,0
81383,81383,System or Component Failure,0
81201,81201,Runway and Landing Issues,0
79926,79926,System or Component Failure,0
80078,80078,Engine-Related Issues,0
81228,81228,System or Component Failure,0
66265,66265,Runway and Landing Issues,0
80295,80295,System or Component Failure,0
53411,53411,System or Component Failure,0
60691,60691,Runway and Landing Issues,0
79324,79324,Animal Collisions,0
79527,79527,Engine-Related Issues,0
80501,80501,System or Component Failure,0
80265,80265,Runway and Landing Issues,0
81550,81550,System or Component Failure,0
46813,46813,System or Component Failure,0
81694,81694,System or Component Failure,0
80234,80234,System or Component Failure,0
51021,51021,Others/Miscellaneous,0
52952,52952,System or Component Failure,0
78439,78439,Unknonw,1
79496,79496,System or Component Failure,0
51753,51753,Loss of Control,0
78306,78306,Others/Miscellaneous,0
78082,78082,System or Component Failure,0
67005,67005,System or Component Failure,0
78895,78895,Animal Collisions,0
78089,78089,Fuel-Related Issues,0
80676,80676,Engine-Related Issues,0
49639,49639,System or Component Failure,0
79692,79692,Runway and Landing Issues,0
81522,81522,Engine-Related Issues,0
52718,52718,System or Component Failure,0
46864,46864,Loss of Control,0
78946,78946,Runway and Landing Issues,0
52751,52751,Engine-Related Issues,0
79432,79432,Unknonw,0
80461,80461,System or Component Failure,0
52640,52640,System or Component Failure,0
53266,53266,Fuel-Related Issues,0
81746,81746,Runway and Landing Issues,0
53153,53153,Animal Collisions,0
50214,50214,Weather-Related Issues,0
53122,53122,System or Component Failure,0
51760,51760,System or Component Failure,0
60870,60870,System or Component Failure,0
78471,78471,System or Component Failure,0
53194,53194,Runway and Landing Issues,0
77847,77847,Fuel-Related Issues,0
80569,80569,System or Component Failure,0
77505,77505,Runway and Landing Issues,0
79198,79198,Navigation and Air Traffic Issues,1
50341,50341,Loss of Control,0
50258,50258,Others/Miscellaneous,0
53323,53323,Runway and Landing Issues,1
79210,79210,Fuel-Related Issues,0
80448,80448,Runway and Landing Issues,0
80749,80749,Fuel-Related Issues,0
80572,80572,Engine-Related Issues,0
80964,80964,System or Component Failure,0
47704,47704,Runway and Landing Issues,0
51001,51001,Runway and Landing Issues,4
80242,80242,System or Component Failure,0
50374,50374,Others/Miscellaneous,0
51013,51013,System or Component Failure,0
50346,50346,Runway and Landing Issues,0
52977,52977,Loss of Control,0
81543,81543,Engine-Related Issues,0
52345,52345,Navigation and Air Traffic Issues,0
60752,60752,Loss of Control,0
80913,80913,System or Component Failure,0
66155,66155,System or Component Failure,0
51145,51145,Runway and Landing Issues,0
80301,80301,Engine-Related Issues,0
77329,77329,System or Component Failure,0
77202,77202,Runway and Landing Issues,0
49472,49472,Runway and Landing Issues,0
46858,46858,Engine-Related Issues,0
78980,78980,Runway and Landing Issues,0
66310,66310,Loss of Control,0
51055,51055,Runway and Landing Issues,0
79089,79089,Navigation and Air Traffic Issues,0
80651,80651,Runway and Landing Issues,0
80081,80081,Loss of Control,0
78523,78523,System or Component Failure,0
79397,79397,Loss of Control,0
53638,53638,Animal Collisions,0
52818,52818,Loss of Control,0
80967,80967,Others/Miscellaneous,0
67053,67053,System or Component Failure,0
79316,79316,Engine-Related Issues,0
77985,77985,Others/Miscellaneous,1
80603,80603,System or Component Failure,0
67011,67011,Loss of Control,0
80347,80347,Engine-Related Issues,0
81000,81000,Animal Collisions,0
52295,52295,System or Component Failure,0
78608,78608,Animal Collisions,0
79892,79892,Engine-Related Issues,0
51135,51135,Others/Miscellaneous,0
80049,80049,Loss of Control,0
80935,80935,Loss of Control,0
80380,80380,Runway and Landing Issues,0
77700,77700,Loss of Control,4
80800,80800,Loss of Control,0
80950,80950,System or Component Failure,0
80811,80811,Animal Collisions,0
78625,78625,System or Component Failure,0
51341,51341,System or Component Failure,0
80427,80427,Runway and Landing Issues,0
81145,81145,Navigation and Air Traffic Issues,1
60727,60727,System or Component Failure,0
80414,80414,Runway and Landing Issues,0
81088,81088,System or Component Failure,0
66623,66623,System or Component Failure,0
78973,78973,System or Component Failure,0
66412,66412,System or Component Failure,0
52264,52264,Runway and Landing Issues,0
51482,51482,System or Component Failure,0
79700,79700,System or Component Failure,0
79644,79644,System or Component Failure,0
77265,77265,Engine-Related Issues,0
53510,53510,System or Component Failure,0
80720,80720,Engine-Related Issues,2
79451,79451,Unknonw,0
50433,50433,Runway and Landing Issues,0
79651,79651,Runway and Landing Issues,0
49523,49523,System or Component Failure,0
81156,81156,Runway and Landing Issues,0
78093,78093,Runway and Landing Issues,0
80076,80076,Navigation and Air Traffic Issues,0
79707,79707,System or Component Failure,0
80341,80341,Engine-Related Issues,0
53496,53496,System or Component Failure,0
81190,81190,System or Component Failure,0
80368,80368,Runway and Landing Issues,0
52950,52950,System or Component Failure,0
52280,52280,Engine-Related Issues,0
53421,53421,Runway and Landing Issues,0
47058,47058,Others/Miscellaneous,0
60615,60615,Runway and Landing Issues,0
52594,52594,System or Component Failure,0
52696,52696,Loss of Control,0
49281,49281,Others/Miscellaneous,0
78785,78785,Weather-Related Issues,0
77991,77991,System or Component Failure,0
78855,78855,Engine-Related Issues,0
79076,79076,System or Component Failure,0
51012,51012,Unknonw,2
50654,50654,System or Component Failure,0
79569,79569,System or Component Failure,0
65496,65496,Others/Miscellaneous,0
49831,49831,Engine-Related Issues,0
51654,51654,Runway and Landing Issues,0
78748,78748,System or Component Failure,0
66223,66223,Loss of Control,0
79340,79340,Runway and Landing Issues,0
80492,80492,System or Component Failure,0
60849,60849,Engine-Related Issues,0
53370,53370,Loss of Control,0
46874,46874,Runway and Landing Issues,0
49282,49282,Others/Miscellaneous,0
66550,66550,Loss of Control,0
80019,80019,Loss of Control,0
80270,80270,System or Component Failure,0
80919,80919,System or Component Failure,0
81706,81706,System or Component Failure,0
81007,81007,System or Component Failure,0
47300,47300,Engine-Related Issues,0
66721,66721,System or Component Failure,0
79729,79729,Runway and Landing Issues,0
80102,80102,System or Component Failure,0
53232,53232,Engine-Related Issues,0
52854,52854,Animal Collisions,0
78111,78111,Engine-Related Issues,2
50674,50674,System or Component Failure,0
48652,48652,Others/Miscellaneous,0
52315,52315,Navigation and Air Traffic Issues,0
66970,66970,Runway and Landing Issues,0
80076,80076,Loss of Control,0
77859,77859,Others/Miscellaneous,0
78752,78752,System or Component Failure,0
47065,47065,System or Component Failure,0
77695,77695,Health Factors,0
78230,78230,Runway and Landing Issues,0
78454,78454,Animal Collisions,0
47650,47650,Loss of Control,1
80576,80576,Animal Collisions,0
81207,81207,Loss of Control,0
81729,81729,Engine-Related Issues,0
79808,79808,System or Component Failure,0
53478,53478,Others/Miscellaneous,0
78333,78333,Loss of Control,6
77857,77857,System or Component Failure,0
79754,79754,Runway and Landing Issues,0
80768,80768,Runway and Landing Issues,0
46852,46852,Loss of Control,0
66843,66843,Runway and Landing Issues,0
81130,81130,Navigation and Air Traffic Issues,0
66034,66034,Fuel-Related Issues,0
51132,51132,Navigation and Air Traffic Issues,0
53568,53568,System or Component Failure,0
77707,77707,System or Component Failure,0
60883,60883,Runway and Landing Issues,0
48899,48899,Loss of Control,0
80638,80638,System or Component Failure,0
78713,78713,Animal Collisions,0
66022,66022,Loss of Control,4
80690,80690,Animal Collisions,0
65575,65575,System or Component Failure,0
65321,65321,System or Component Failure,1
66788,66788,System or Component Failure,0
78744,78744,Engine-Related Issues,1
79464,79464,System or Component Failure,0
79214,79214,Engine-Related Issues,0
66609,66609,Engine-Related Issues,2
78601,78601,System or Component Failure,0
53132,53132,Weather-Related Issues,0
78963,78963,Engine-Related Issues,0
53469,53469,Engine-Related Issues,2
65936,65936,System or Component Failure,0
81465,81465,System or Component Failure,0
52300,52300,Weather-Related Issues,0
80626,80626,System or Component Failure,0
48796,48796,Engine-Related Issues,1
78200,78200,Runway and Landing Issues,0
78444,78444,Engine-Related Issues,0
49125,49125,Fuel-Related Issues,0
78800,78800,Loss of Control,1
78599,78599,Fuel-Related Issues,0
80704,80704,Runway and Landing Issues,0
80351,80351,Runway and Landing Issues,0
50318,50318,Loss of Control,0
78712,78712,Navigation and Air Traffic Issues,0
60612,60612,Loss of Control,0
51009,51009,Loss of Control,2
79490,79490,Unknonw,0
67129,67129,Runway and Landing Issues,0
78412,78412,Runway and Landing Issues,0
49612,49612,Loss of Control,0
65290,65290,Others/Miscellaneous,0
79841,79841,System or Component Failure,0
51887,51887,System or Component Failure,0
49958,49958,Unknonw,0
80392,80392,Navigation and Air Traffic Issues,0
80207,80207,Engine-Related Issues,0
79362,79362,Runway and Landing Issues,0
49291,49291,Runway and Landing Issues,0
80430,80430,System or Component Failure,0
52572,52572,Engine-Related Issues,0
80024,80024,Animal Collisions,0
77211,77211,Engine-Related Issues,0
78282,78282,Loss of Control,0
60974,60974,Engine-Related Issues,0
50342,50342,Others/Miscellaneous,5
78025,78025,Unknonw,0
79217,79217,Animal Collisions,0
81398,81398,Runway and Landing Issues,0
78714,78714,Runway and Landing Issues,0
49956,49956,System or Component Failure,0
79119,79119,Unknonw,0
80866,80866,System or Component Failure,0
53497,53497,Loss of Control,1
49705,49705,Others/Miscellaneous,0
53640,53640,Runway and Landing Issues,0
81385,81385,Unknonw,4
79751,79751,Runway and Landing Issues,0
80327,80327,Others/Miscellaneous,0
78971,78971,System or Component Failure,0
65741,65741,System or Component Failure,0
79332,79332,System or Component Failure,0
81029,81029,System or Component Failure,0
79504,79504,System or Component Failure,0
77504,77504,System or Component Failure,0
80411,80411,Runway and Landing Issues,0
81558,81558,System or Component Failure,0
53206,53206,Others/Miscellaneous,0
51434,51434,Engine-Related Issues,0
78388,78388,Runway and Landing Issues,0
77923,77923,Runway and Landing Issues,0
52306,52306,Loss of Control,0
80472,80472,Fuel-Related Issues,0
77431,77431,System or Component Failure,0
53520,53520,System or Component Failure,0
80908,80908,System or Component Failure,0
53454,53454,System or Component Failure,0
81089,81089,System or Component Failure,0
66679,66679,Runway and Landing Issues,0
53376,53376,Loss of Control,1
53430,53430,System or Component Failure,0
79025,79025,System or Component Failure,0
79124,79124,Loss of Control,1
49618,49618,System or Component Failure,0
81366,81366,Navigation and Air Traffic Issues,2
51444,51444,System or Component Failure,0
65367,65367,Engine-Related Issues,0
79226,79226,Runway and Landing Issues,0
66350,66350,System or Component Failure,0
78184,78184,System or Component Failure,0
79096,79096,System or Component Failure,0
53327,53327,Engine-Related Issues,0
81125,81125,System or Component Failure,0
46870,46870,Others/Miscellaneous,0
78632,78632,System or Component Failure,0
79102,79102,Runway and Landing Issues,0
80222,80222,Animal Collisions,0
65469,65469,Runway and Landing Issues,0
79033,79033,Runway and Landing Issues,0
51551,51551,Runway and Landing Issues,0
80349,80349,Runway and Landing Issues,0
49702,49702,System or Component Failure,0
60841,60841,Engine-Related Issues,0
60976,60976,System or Component Failure,0
81216,81216,Loss of Control,0
50977,50977,Runway and Landing Issues,1
79407,79407,Loss of Control,1
80194,80194,System or Component Failure,0
66287,66287,Animal Collisions,0
53504,53504,System or Component Failure,0
60712,60712,System or Component Failure,0
79101,79101,Others/Miscellaneous,0
50799,50799,Engine-Related Issues,0
81437,81437,Animal Collisions,0
78020,78020,Fuel-Related Issues,0
79744,79744,System or Component Failure,0
67101,67101,System or Component Failure,0
79637,79637,Animal Collisions,0
51454,51454,System or Component Failure,0
47435,47435,Runway and Landing Issues,0
65818,65818,Weather-Related Issues,0
81144,81144,Runway and Landing Issues,0
77249,77249,Loss of Control,0
52762,52762,System or Component Failure,0
78703,78703,Loss of Control,0
53372,53372,Loss of Control,0
81031,81031,System or Component Failure,0
46972,46972,Runway and Landing Issues,0
65289,65289,System or Component Failure,0
80824,80824,System or Component Failure,0
52992,52992,Runway and Landing Issues,0
80891,80891,Others/Miscellaneous,0
52944,52944,System or Component Failure,0
80197,80197,System or Component Failure,0
66924,66924,Others/Miscellaneous,0
52959,52959,System or Component Failure,0
46862,46862,Others/Miscellaneous,0
79468,79468,Animal Collisions,0
47133,47133,Loss of Control,0
66088,66088,Animal Collisions,0
80753,80753,System or Component Failure,0
51157,51157,System or Component Failure,0
78052,78052,Loss of Control,0
81045,81045,Runway and Landing Issues,0
52845,52845,Animal Collisions,0
77800,77800,System or Component Failure,0
78165,78165,System or Component Failure,0
78363,78363,Engine-Related Issues,0
79947,79947,Runway and Landing Issues,0
65324,65324,System or Component Failure,0
50543,50543,Others/Miscellaneous,0
80593,80593,Engine-Related Issues,0
48897,48897,Unknonw,0
78088,78088,System or Component Failure,0
81210,81210,System or Component Failure,0
78032,78032,Engine-Related Issues,0
81171,81171,Runway and Landing Issues,0
79668,79668,System or Component Failure,0
77650,77650,Loss of Control,0
51337,51337,System or Component Failure,0
79441,79441,Others/Miscellaneous,0
66839,66839,System or Component Failure,0
80358,80358,Loss of Control,0
81709,81709,Animal Collisions,0
47432,47432,Navigation and Air Traffic Issues,0
65963,65963,Runway and Landing Issues,0
53273,53273,Engine-Related Issues,0
52873,52873,Unknonw,5
52673,52673,Unknonw,2
80730,80730,System or Component Failure,0
80313,80313,System or Component Failure,0
77861,77861,System or Component Failure,0
78943,78943,System or Component Failure,0
78496,78496,System or Component Failure,0
65399,65399,System or Component Failure,0
78610,78610,Loss of Control,1
81264,81264,Engine-Related Issues,0
53309,53309,Engine-Related Issues,0
78540,78540,Fire and Smoke Incidents,0
80298,80298,Runway and Landing Issues,0
77475,77475,Unknonw,0
79872,79872,Runway and Landing Issues,0
51025,51025,Loss of Control,0
48584,48584,Engine-Related Issues,0
49539,49539,System or Component Failure,0
49451,49451,Loss of Control,0
80885,80885,System or Component Failure,0
79115,79115,Runway and Landing Issues,0
78455,78455,Navigation and Air Traffic Issues,1
78149,78149,Engine-Related Issues,0
53424,53424,System or Component Failure,0
65589,65589,Engine-Related Issues,0
80086,80086,Loss of Control,2
49634,49634,Runway and Landing Issues,0
80508,80508,System or Component Failure,0
81496,81496,System or Component Failure,0
77501,77501,System or Component Failure,0
81234,81234,Engine-Related Issues,0
48797,48797,Loss of Control,0
81009,81009,Runway and Landing Issues,0
80718,80718,Engine-Related Issues,0
49955,49955,System or Component Failure,0
65491,65491,Runway and Landing Issues,0
60872,60872,Loss of Control,1
79925,79925,System or Component Failure,0
78929,78929,System or Component Failure,0
78763,78763,Runway and Landing Issues,1
81688,81688,Engine-Related Issues,0
80795,80795,Unknonw,1
65389,65389,Animal Collisions,0
80993,80993,System or Component Failure,0
48793,48793,Runway and Landing Issues,0
51000,51000,System or Component Failure,0
80297,80297,System or Component Failure,0
79283,79283,System or Component Failure,0
66707,66707,Others/Miscellaneous,0
53576,53576,Engine-Related Issues,1
47333,47333,Runway and Landing Issues,0
79259,79259,Runway and Landing Issues,0
80683,80683,System or Component Failure,0
81127,81127,System or Component Failure,0
80238,80238,Runway and Landing Issues,0
78143,78143,System or Component Failure,0
79263,79263,Navigation and Air Traffic Issues,0
47055,47055,Runway and Landing Issues,0
80173,80173,System or Component Failure,0
81316,81316,Navigation and Air Traffic Issues,0
78743,78743,System or Component Failure,0
66646,66646,Navigation and Air Traffic Issues,1
67137,67137,Engine-Related Issues,0
81120,81120,Runway and Landing Issues,0
80420,80420,Engine-Related Issues,0
65794,65794,Unknonw,1
51010,51010,Loss of Control,0
79249,79249,System or Component Failure,0
60809,60809,System or Component Failure,0
48694,48694,System or Component Failure,0
78631,78631,Others/Miscellaneous,0
66262,66262,Navigation and Air Traffic Issues,1
78494,78494,Navigation and Air Traffic Issues,0
81396,81396,Navigation and Air Traffic Issues,0
81756,81756,System or Component Failure,0
79863,79863,Runway and Landing Issues,0
79456,79456,Runway and Landing Issues,0
67086,67086,System or Component Failure,0
52332,52332,Fire and Smoke Incidents,0
78117,78117,Runway and Landing Issues,0
66036,66036,System or Component Failure,0
52591,52591,Others/Miscellaneous,0
79493,79493,Navigation and Air Traffic Issues,1
51433,51433,Runway and Landing Issues,0
78240,78240,Runway and Landing Issues,0
51182,51182,System or Component Failure,0
80177,80177,Runway and Landing Issues,2
50976,50976,Fuel-Related Issues,0
51054,51054,Engine-Related Issues,0
60846,60846,Navigation and Air Traffic Issues,0
80685,80685,Runway and Landing Issues,0
51456,51456,Runway and Landing Issues,0
51153,51153,Loss of Control,0
